Industry,X,Y
Healthcare,APOLLOHOSP,DIVISLAB
Healthcare,APOLLOHOSP,DRREDDY
Healthcare,SUNPHARMA,APOLLOHOSP
Financial Services,AXISBANK,BAJAJFINSV
Financial Services,AXISBANK,HDFCBANK
Financial Services,AXISBANK,HDFCLIFE
Financial Services,AXISBANK,ICICIBANK
Financial Services,AXISBANK,SBILIFE
Financial Services,AXISBANK,SBIN
Automobile and Auto Components,BAJAJ-AUTO,HEROMOTOCO
Financial Services,BAJAJFINSV,ICICIBANK
Automobile and Auto Components,EICHERMOT,M&M
Financial Services,KOTAKBANK,HDFCBANK
Financial Services,SBILIFE,ICICIBANK
Information Technology,INFY,TCS
Information Technology,TECHM,INFY
